"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1987C.cpp", "C++", 0, 34, 3, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1988C.cpp", "C++", 0, 42, 0, 5, 47
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1989B.cpp", "C++", 0, 29, 0, 4, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1989C.cpp", "C++", 0, 53, 1, 3, 57
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1990A.cpp", "C++", 0, 28, 0, 3, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1990B.cpp", "C++", 0, 30, 0, 4, 34
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1991B.cpp", "C++", 0, 33, 2, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1991C.cpp", "C++", 0, 42, 3, 4, 49
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1992C.cpp", "C++", 0, 23, 0, 3, 26
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1992D.cpp", "C++", 0, 29, 8, 4, 41
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1993B.cpp", "C++", 0, 43, 4, 3, 50
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1993C.cpp", "C++", 0, 35, 6, 3, 44
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1995B.cpp", "C++", 0, 36, 1, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1996C.cpp", "C++", 0, 35, 4, 3, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1997B.cpp", "C++", 0, 29, 1, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1997C.cpp", "C++", 0, 47, 0, 4, 51
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999A.cpp", "C++", 0, 16, 0, 3, 19
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999B.cpp", "C++", 0, 27, 0, 5, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999C.cpp", "C++", 0, 28, 0, 3, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999D.cpp", "C++", 0, 30, 0, 3, 33
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999E.cpp", "C++", 0, 24, 0, 4, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000A.cpp", "C++", 0, 21, 0, 3, 24
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000B.cpp", "C++", 0, 34, 0, 3, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000C.cpp", "C++", 0, 42, 0, 4, 46
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000D.cpp", "C++", 0, 49, 3, 6, 58
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000E.cpp", "C++", 0, 61, 7, 3, 71
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2001A.cpp", "C++", 0, 29, 0, 3, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2001B.cpp", "C++", 0, 33, 0, 3, 36
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2002A.cpp", "C++", 0, 16, 0, 3, 19
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2002B.cpp", "C++", 0, 41, 1, 3, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2003A.cpp", "C++", 0, 22, 0, 3, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2003B.cpp", "C++", 0, 21, 3, 3, 27
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2003C.cpp", "C++", 0, 38, 0, 4, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2004A.cpp", "C++", 0, 27, 0, 3, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2004B.cpp", "C++", 0, 26, 0, 3, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2004C.cpp", "C++", 0, 36, 3, 4, 43
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2005B.cpp", "C++", 0, 43, 4, 5, 52
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2007A.cpp", "C++", 0, 32, 0, 4, 36
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2007B.cpp", "C++", 0, 68, 0, 3, 71
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2007B_2.cpp", "C++", 0, 35, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2008A.cpp", "C++", 0, 27, 5, 3, 35
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2008B.cpp", "C++", 0, 36, 0, 3, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2008C.cpp", "C++", 0, 28, 0, 4, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2008D.cpp", "C++", 0, 41, 0, 4, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2009A.cpp", "C++", 0, 16, 0, 3, 19
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2009B.cpp", "C++", 0, 28, 0, 4, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2009C.cpp", "C++", 0, 20, 0, 3, 23
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2009E.cpp", "C++", 0, 29, 3, 4, 36
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2010A.cpp", "C++", 0, 23, 0, 3, 26
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2010B.cpp", "C++", 0, 18, 0, 2, 20
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2010C1.cpp", "C++", 0, 21, 1, 2, 24
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2013B.cpp", "C++", 0, 22, 0, 3, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2013C.cpp", "C++", 0, 59, 0, 4, 63
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2014C.cpp", "C++", 0, 56, 4, 6, 66
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2014D.cpp", "C++", 0, 59, 0, 6, 65
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2019B.cpp", "C++", 0, 38, 5, 3, 46
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2020A.cpp", "C++", 0, 25, 0, 3, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2020B.cpp", "C++", 0, 40, 1, 4, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2026A.cpp", "C++", 0, 17, 0, 3, 20
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2026B.cpp", "C++", 0, 36, 1, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2027A.cpp", "C++", 0, 24, 0, 3, 27
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2027B.cpp", "C++", 0, 26, 0, 3, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2027C.cpp", "C++", 0, 36, 0, 4, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033A.cpp", "C++", 0, 20, 0, 3, 23
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033B.cpp", "C++", 0, 35, 0, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2033C.cpp", "C++", 0, 73, 1, 4, 78
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/31B.cpp", "C++", 0, 12, 0, 2, 14
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/48D.cpp", "C++", 0, 51, 6, 5, 62
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/74B.cpp", "C++", 0, 22, 1, 2, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/91A.cpp", "C++", 0, 38, 0, 2, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/91A2.cpp", "C++", 0, 30, 0, 1, 31
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/91A3_vlad.cpp", "C++", 0, 16, 0, 1, 17
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/VDA.cpp", "C++", 0, 32, 9, 1, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/VDA2.cpp", "C++", 0, 42, 7, 1, 50
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/VDA3.cpp", "C++", 0, 43, 7, 1, 51
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/arbus.cpp", "C++", 0, 13, 0, 1, 14
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1095C.cpp", "C++", 0, 41, 0, 2, 43
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1097B.cpp", "C++", 0, 28, 0, 2, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1202A.cpp", "C++", 0, 25, 1, 3, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1312C.cpp", "C++", 0, 37, 0, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1362B.cpp", "C++", 0, 53, 0, 5, 58
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1362C.cpp", "C++", 0, 20, 0, 3, 23
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1385D.cpp", "C++", 0, 43, 2, 4, 49
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1420B.cpp", "C++", 0, 31, 0, 4, 35
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1463B.cpp", "C++", 0, 25, 0, 3, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1494A.cpp", "C++", 0, 72, 1, 4, 77
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1498B.cpp", "C++", 0, 41, 0, 3, 44
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1516B.cpp", "C++", 0, 34, 3, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1547D.cpp", "C++", 0, 27, 0, 3, 30
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1553C.cpp", "C++", 0, 50, 5, 3, 58
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1559A.cpp", "C++", 0, 22, 0, 3, 25
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1566C.cpp", "C++", 0, 40, 8, 3, 51
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1567B.cpp", "C++", 0, 31, 2, 4, 37
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1594B.cpp", "C++", 0, 26, 0, 3, 29
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1625A.cpp", "C++", 0, 33, 3, 3, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1630A.cpp", "C++", 0, 49, 0, 3, 52
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/bitmask/1632B.cpp", "C++", 0, 37, 1, 4, 42
